"discharge_year","ppc_version","hospital_name","pfi","ppc_group_number","ppc_group_name","observed_rate_per_10_000_at_risk_discharges","risk_adjusted_rate_per_10_000_at_risk_discharges","significance"
"2023","40.0","BronxCare Hospital Center","1178","8","Other Medical and Surgical Complications","104.66046912516161","124.68042535590105","Below"
"2023","40.0","Brookdale Hospital Medical Center","1286","1","Extreme Complications","76.45417915073871","82.92763894604275","Similar"
"2023","40.0","Brookdale Hospital Medical Center","1286","2","Cardiovascular-Respiratory Complications","100.57024364955936","114.12992937126887","Similar"
"2023","40.0","Brookdale Hospital Medical Center","1286","3","Gastrointestinal Complications","27","26.69074096371087","Similar"
"2023","40.0","Brookdale Hospital Medical Center","1286","4","Perioperative Complications","27.01321457253413","36.26598823451421","Similar"
"2023","40.0","Brookdale Hospital Medical Center","1286","5","Infectious Complications","82.4248869981388","88.45854863515723","Similar"
"2023","40.0","Brookdale Hospital Medical Center","1286","6","Malfunctions, Reactions, etc.","28.181041844577283","34.56126242609173","Similar"
"2023","40.0","Brookdale Hospital Medical Center","1286","7","Obstetrical Complications","493.6305732484077","319.2007676398502","Above"
"2023","40.0","Brookdale Hospital Medical Center","1286","8","Other Medical and Surgical Complications","74.46906316079802","88.91829215465329","Below"
"2023","40.0","Brooklyn Hospital Center - Downtown Campus","1288","1","Extreme Complications","41.327057743083465","83.0906538914714","Similar"
"2023","40.0","Brooklyn Hospital Center - Downtown Campus","1288","2","Cardiovascular-Respiratory Complications","72.66435986159169","131.69369418278083","Similar"
"2023","40.0","Brooklyn Hospital Center - Downtown Campus","1288","3","Gastrointestinal Complications","22.66032177656923","34.572522832185","Similar"
"2023","40.0","Brooklyn Hospital Center - Downtown Campus","1288","4","Perioperative Complications","37.272342227869544","46.56694813063941","Similar"
"2023","40.0","Brooklyn Hospital Center - Downtown Campus","1288","5","Infectious Complications","48.95179312546558","78.430808037388","Similar"
"2023","40.0","Brooklyn Hospital Center - Downtown Campus","1288","6","Malfunctions, Reactions, etc.","12.196361418843379","18.14738799485717","Below"
"2023","40.0","Brooklyn Hospital Center - Downtown Campus","1288","7","Obstetrical Complications","79.87220447284345","71.67811139755018","Similar"
"2023","40.0","Brooklyn Hospital Center - Downtown Campus","1288","8","Other Medical and Surgical Complications","58.23358136525397","85.77653613698041","Below"
"2023","40.0","Buffalo General Medical Center","207","1","Extreme Complications","150.07982969664715","82.42145674414378","Similar"
"2023","40.0","Buffalo General Medical Center","207","2","Cardiovascular-Respiratory Complications","267.985324613176","167.65405642822847","Above"
"2023","40.0","Buffalo General Medical Center","207","3","Gastrointestinal Complications","69.29361878167339","46.657597400002786","Above"
"2023","40.0","Buffalo General Medical Center","207","4","Perioperative Complications","100.24741916218753","52.75650386666732","Above"
"2023","40.0","Buffalo General Medical Center","207","5","Infectious Complications","177.6584206992718","118.65482397103219","Above"
"2023","40.0","Buffalo General Medical Center","207","6","Malfunctions, Reactions, etc.","67.89572802061652","43.59229558720929","Above"
"2023","40.0","Buffalo General Medical Center","207","8","Other Medical and Surgical Complications","342.3967774420947","224.691588036065","Above"
"2023","40.0","Calvary Hospital Inc","1175","1","Extreme Complications","0","0","Below"
"2023","40.0","Calvary Hospital Inc","1175","2","Cardiovascular-Respiratory Complications","91.74311926605505","53.787668511177365","Similar"
