report_number,event_type,date_of_event,date_received,manufacturer_name,facility_state,patient_outcomes,device_problems,product_code,brand_name,generic_name,hcpcs_code,hcpcs_desc,device_category,bridge_confidence
1000899,Death,2006-04-25,2006-04-27,GUIDANT,,,DTB,DTB,GUIDANT FLEXTEND ATRIAL LEAD,ATRIAL PACEMAKER LEAD,C1785,"Pmkr, dual, rate-resp",pacemaker_dual_chamber,high
1000899,Death,2006-04-25,2006-04-27,GUIDANT,,,DTB,DTB,GUIDANT FLEXTEND ATRIAL LEAD,ATRIAL PACEMAKER LEAD,C1786,"Pmkr, single, rate-resp",pacemaker_single_chamber,high
10009,,1994-11-09,1995-01-31,"MEDTRONIC, INC.",,,DTB,DTB,MEDTRONIC PACEMAKER,,C1785,"Pmkr, dual, rate-resp",pacemaker_dual_chamber,high
10009,,1994-11-09,1995-01-31,"MEDTRONIC, INC.",,,DTB,DTB,MEDTRONIC PACEMAKER,,C1786,"Pmkr, single, rate-resp",pacemaker_single_chamber,high
1016427-2008-00037,Injury,2002-10-07,2008-02-14,CORDIS CORPORATION,,,MAF,MAF,BX VELOCITY BILIARY SDS,CORONARY SDS/STENTS (MAF),C1876,"Stent, non-coa/non-cov w/del",bare_metal_stent,high
1016427-2008-00037,Injury,2002-10-07,2008-02-14,CORDIS CORPORATION,,,MAF,MAF,BX VELOCITY BILIARY SDS,CORONARY SDS/STENTS (MAF),C1877,"Stent, non-coat/cov w/o del",bare_metal_stent,high
1018233-2020-02849,Malfunction,2020-04-09,2020-04-27,"C.R. BARD, INC. (COVINGTON) -1018233",,,KNT,KNT,BARD® STOMACH/INTESTINAL TUBE,TRI-FUNNEL REPLACEMENT GASTROSTOMY TUBE,B4088,"Gastro/jejuno tube, low-pro",gastrostomy_low_profile,medium
1028232-2020-01809,Malfunction,2020-04-14,2020-04-27,BIOTRONIK SE & CO. KG,,,LWS,LWS,ILESTO 7 VR-T DX DF-1,ICD,C1721,"Aicd, dual chamber",icd_dual_chamber,high
1028232-2020-01809,Malfunction,2020-04-14,2020-04-27,BIOTRONIK SE & CO. KG,,,LWS,LWS,ILESTO 7 VR-T DX DF-1,ICD,C1722,"Aicd, single chamber",icd_single_chamber,high
1028232-2020-01809,Malfunction,2020-04-14,2020-04-27,BIOTRONIK SE & CO. KG,,,LWS,LWS,ILESTO 7 VR-T DX DF-1,ICD,C1887,"Catheter, guiding",ep_catheter_guiding,medium
1028232-2020-01838,Malfunction,2020-04-23,2020-04-27,BIOTRONIK SE & CO. KG,,,NVY,NVY,PLEXA PROMRI  S 65,ICD LEAD,C1779,"Lead, pmkr, transvenous vdd",pacemaker_lead_vdd,high
1028232-2020-01842,Injury,2020-04-24,2020-04-27,BIOTRONIK SE & CO. KG,,,NVY,NVY,LINOX TD 65/16,ICD LEAD,C1779,"Lead, pmkr, transvenous vdd",pacemaker_lead_vdd,high
1028232-2020-01848,Injury,2020-04-24,2020-04-27,BIOTRONIK SE & CO. KG,,,NVY,NVY,PLEXA PROMRI  S 65,ICD LEAD,C1779,"Lead, pmkr, transvenous vdd",pacemaker_lead_vdd,high
1028232-2020-01852,Injury,2020-04-24,2020-04-27,BIOTRONIK SE & CO. KG,,,NVY,NVY,PROTEGO S 65,ICD LEAD,C1779,"Lead, pmkr, transvenous vdd",pacemaker_lead_vdd,high
1028232-2020-01853,Malfunction,2020-04-27,2020-04-28,BIOTRONIK SE & CO. KG,OTHER HEALTH CARE PROFESSIONAL,,NVY,NVY,PROTEGO S 65,ICD LEAD,C1779,"Lead, pmkr, transvenous vdd",pacemaker_lead_vdd,high
1028232-2020-01870,Malfunction,2020-04-27,2020-04-28,BIOTRONIK SE & CO. KG,,,NVY,NVY,LINOX SD 65/16,ICD LEAD,C1779,"Lead, pmkr, transvenous vdd",pacemaker_lead_vdd,high
1028232-2020-01873,Injury,2020-04-27,2020-04-28,BIOTRONIK SE & CO. KG,,,NVY,NVY,PLEXA S 60,ICD LEAD,C1779,"Lead, pmkr, transvenous vdd",pacemaker_lead_vdd,high
1028232-2020-01876,Malfunction,2020-04-17,2020-04-28,BIOTRONIK SE & CO. KG,,,NVY,NVY,LINOX SMART TD 65/16,ICD LEAD,C1779,"Lead, pmkr, transvenous vdd",pacemaker_lead_vdd,high
1035166-1997-00030,Malfunction,1997-02-13,1997-06-18,SULZER OSCOR INC.,,,DTB,DTB,ZY-BV,RETRACTABLE SCREW-IN,C1785,"Pmkr, dual, rate-resp",pacemaker_dual_chamber,high
1035166-1997-00030,Malfunction,1997-02-13,1997-06-18,SULZER OSCOR INC.,,,DTB,DTB,ZY-BV,RETRACTABLE SCREW-IN,C1786,"Pmkr, single, rate-resp",pacemaker_single_chamber,high
1036844-2008-00011,Malfunction,2007-12-29,2008-02-15,"ARROW INTL., INC.",,,DQY,DQY,VESSEL CATH KIT: 24 GA X 3-1/2,SINGLE LUMEN CVC PRODUCTS,C1725,"Cath, translumin non-laser",atherectomy_catheter,high
1036844-2008-00013,Malfunction,2008-01-23,2008-02-15,"ARROW INTL., INC.",,,DQY,DQY,CVC SET: 2-LUMEN 4 FR X 8 CM,PEDIATRIC MULTI-LUMEN CATHETER PRODUCTS,C1725,"Cath, translumin non-laser",atherectomy_catheter,high
1119421-2008-00056,Other,2008-01-10,2008-02-15,"ALCON RESEARCH, LTD. / HUNTINGTON",,,HQL,HQL,ACRYSOF,INTRAOCULAR LENS,V2630,Anter chamber intraocul lens,iol_anterior_chamber,high
1119421-2008-00056,Other,2008-01-10,2008-02-15,"ALCON RESEARCH, LTD. / HUNTINGTON",,,HQL,HQL,ACRYSOF,INTRAOCULAR LENS,V2632,Post chmbr intraocular lens,iol_posterior_chamber,high
1119421-2008-00057,Other,2008-01-10,2008-02-15,"ALCON RESEARCH, LTD. / HUNTINGTON",,,HQL,HQL,ACRYSOF,INTRAOCULAR LENS,V2630,Anter chamber intraocul lens,iol_anterior_chamber,high
1119421-2008-00057,Other,2008-01-10,2008-02-15,"ALCON RESEARCH, LTD. / HUNTINGTON",,,HQL,HQL,ACRYSOF,INTRAOCULAR LENS,V2632,Post chmbr intraocular lens,iol_posterior_chamber,high
1119421-2008-00058,Other,2007-01-01,2008-02-15,"ALCON RESEARCH, LTD. / HUNTINGTON",,,HQL,HQL,ACRYSOF,INTRAOCULAR LENS,V2630,Anter chamber intraocul lens,iol_anterior_chamber,high
