report_number,event_type,date_of_event,date_received,manufacturer_name,facility_state,patient_outcomes,device_problems,product_code,brand_name,generic_name,hcpcs_code,hcpcs_desc,device_category,bridge_confidence
2124215-2020-08784,Malfunction,2020-03-26,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWP,LWP,PROPONENT MRI DR,"IMPLANTABLE PULSE GENERATOR, PACEMAKER (NON-CRT)",C1896,"Lead, aicd, non sing/dual",icd_lead_single_coil,medium
2124215-2020-08788,Malfunction,2020-03-30,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWP,LWP,PROPONENT MRI DR,"IMPLANTABLE PULSE GENERATOR, PACEMAKER (NON-CRT)",C1896,"Lead, aicd, non sing/dual",icd_lead_single_coil,medium
2124215-2020-09145,Injury,2020-01-21,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,EMBLEM MRI S-ICD,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR (NON-CRT),C1721,"Aicd, dual chamber",icd_dual_chamber,high
2124215-2020-09145,Injury,2020-01-21,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,EMBLEM MRI S-ICD,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR (NON-CRT),C1722,"Aicd, single chamber",icd_single_chamber,high
2124215-2020-09145,Injury,2020-01-21,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,EMBLEM MRI S-ICD,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR (NON-CRT),C1887,"Catheter, guiding",ep_catheter_guiding,medium
2124215-2020-09151,Injury,2020-03-25,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWP,LWP,ESSENTIO MRI DR,"IMPLANTABLE PULSE GENERATOR, PACEMAKER (NON-CRT)",C1896,"Lead, aicd, non sing/dual",icd_lead_single_coil,medium
2124215-2020-09152,Malfunction,2020-03-24,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,EMBLEM MRI S-ICD,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR (NON-CRT),C1721,"Aicd, dual chamber",icd_dual_chamber,high
2124215-2020-09152,Malfunction,2020-03-24,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,EMBLEM MRI S-ICD,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR (NON-CRT),C1722,"Aicd, single chamber",icd_single_chamber,high
2124215-2020-09152,Malfunction,2020-03-24,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,EMBLEM MRI S-ICD,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR (NON-CRT),C1887,"Catheter, guiding",ep_catheter_guiding,medium
2124215-2020-09153,Injury,2020-03-03,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,DTB,DTB,THINLINE II STEROX EZ,PERMANENT PACEMAKER ELECTRODE,C1785,"Pmkr, dual, rate-resp",pacemaker_dual_chamber,high
2124215-2020-09153,Injury,2020-03-03,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,DTB,DTB,THINLINE II STEROX EZ,PERMANENT PACEMAKER ELECTRODE,C1786,"Pmkr, single, rate-resp",pacemaker_single_chamber,high
2124215-2020-09163,Injury,2020-02-07,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWP,LWP,INCEPTA ICD,"IMPLANTABLE PULSE GENERATOR, PACEMAKER (NON-CRT)",C1896,"Lead, aicd, non sing/dual",icd_lead_single_coil,medium
2124215-2020-09165,Injury,2020-03-13,2020-04-28,OSCOR,,,LWS,LWS,EMBLEM S-ICD,IMPLANTABLE LEAD,C1721,"Aicd, dual chamber",icd_dual_chamber,high
2124215-2020-09165,Injury,2020-03-13,2020-04-28,OSCOR,,,LWS,LWS,EMBLEM S-ICD,IMPLANTABLE LEAD,C1722,"Aicd, single chamber",icd_single_chamber,high
2124215-2020-09165,Injury,2020-03-13,2020-04-28,OSCOR,,,LWS,LWS,EMBLEM S-ICD,IMPLANTABLE LEAD,C1887,"Catheter, guiding",ep_catheter_guiding,medium
2124215-2020-09166,Injury,2020-03-13,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,EMBLEM MRI S-ICD,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR (NON-CRT),C1721,"Aicd, dual chamber",icd_dual_chamber,high
2124215-2020-09166,Injury,2020-03-13,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,EMBLEM MRI S-ICD,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR (NON-CRT),C1722,"Aicd, single chamber",icd_single_chamber,high
2124215-2020-09166,Injury,2020-03-13,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,EMBLEM MRI S-ICD,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR (NON-CRT),C1887,"Catheter, guiding",ep_catheter_guiding,medium
2124215-2020-09168,Injury,2020-02-12,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWP,LWP,ESSENTIO DR,"IMPLANTABLE PULSE GENERATOR, PACEMAKER (NON-CRT)",C1896,"Lead, aicd, non sing/dual",icd_lead_single_coil,medium
2124215-2020-09172,Injury,2020-03-31,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,NVY,NVY,ENDOTAK RELIANCE,IMPLANTABLE LEAD,C1779,"Lead, pmkr, transvenous vdd",pacemaker_lead_vdd,high
2124215-2020-09174,Injury,2020-02-27,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,EMBLEM MRI S-ICD,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR (NON-CRT),C1721,"Aicd, dual chamber",icd_dual_chamber,high
2124215-2020-09174,Injury,2020-02-27,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,EMBLEM MRI S-ICD,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR (NON-CRT),C1722,"Aicd, single chamber",icd_single_chamber,high
2124215-2020-09174,Injury,2020-02-27,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,EMBLEM MRI S-ICD,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR (NON-CRT),C1887,"Catheter, guiding",ep_catheter_guiding,medium
2124215-2020-09175,Injury,2020-02-27,2020-04-28,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,EMBLEM S-ICD,IMPLANTABLE LEAD,C1721,"Aicd, dual chamber",icd_dual_chamber,high
2124215-2020-09175,Injury,2020-02-27,2020-04-28,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,EMBLEM S-ICD,IMPLANTABLE LEAD,C1722,"Aicd, single chamber",icd_single_chamber,high
2124215-2020-09175,Injury,2020-02-27,2020-04-28,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,EMBLEM S-ICD,IMPLANTABLE LEAD,C1887,"Catheter, guiding",ep_catheter_guiding,medium
2124215-2020-09176,Injury,2020-02-23,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWP,LWP,ENERGEN ICD,"IMPLANTABLE PULSE GENERATOR, PACEMAKER (NON-CRT)",C1896,"Lead, aicd, non sing/dual",icd_lead_single_coil,medium
2124215-2020-09178,Injury,2020-02-07,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,ENDOTAK RELIANCE G,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR (NON-CRT),C1721,"Aicd, dual chamber",icd_dual_chamber,high
2124215-2020-09178,Injury,2020-02-07,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,ENDOTAK RELIANCE G,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR (NON-CRT),C1722,"Aicd, single chamber",icd_single_chamber,high
2124215-2020-09178,Injury,2020-02-07,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,ENDOTAK RELIANCE G,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR (NON-CRT),C1887,"Catheter, guiding",ep_catheter_guiding,medium
2124215-2020-09179,Injury,2020-01-22,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWP,LWP,ESSENTIO MRI SR,"IMPLANTABLE PULSE GENERATOR, PACEMAKER (NON-CRT)",C1896,"Lead, aicd, non sing/dual",icd_lead_single_coil,medium
2124215-2020-09181,Injury,2020-02-21,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,EMBLEM MRI S-ICD,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR (NON-CRT),C1721,"Aicd, dual chamber",icd_dual_chamber,high
2124215-2020-09181,Injury,2020-02-21,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,EMBLEM MRI S-ICD,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR (NON-CRT),C1722,"Aicd, single chamber",icd_single_chamber,high
2124215-2020-09181,Injury,2020-02-21,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,EMBLEM MRI S-ICD,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR (NON-CRT),C1887,"Catheter, guiding",ep_catheter_guiding,medium
2124215-2020-09186,Malfunction,2019-09-01,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,ENDOTAK RELIANCE G,IMPLANTABLE LEAD,C1721,"Aicd, dual chamber",icd_dual_chamber,high
2124215-2020-09186,Malfunction,2019-09-01,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,ENDOTAK RELIANCE G,IMPLANTABLE LEAD,C1722,"Aicd, single chamber",icd_single_chamber,high
2124215-2020-09186,Malfunction,2019-09-01,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,ENDOTAK RELIANCE G,IMPLANTABLE LEAD,C1887,"Catheter, guiding",ep_catheter_guiding,medium
2124215-2020-09187,Malfunction,2020-03-25,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,EMBLEM MRI S-ICD,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR (NON-CRT),C1721,"Aicd, dual chamber",icd_dual_chamber,high
2124215-2020-09187,Malfunction,2020-03-25,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,EMBLEM MRI S-ICD,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR (NON-CRT),C1722,"Aicd, single chamber",icd_single_chamber,high
2124215-2020-09187,Malfunction,2020-03-25,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,EMBLEM MRI S-ICD,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR (NON-CRT),C1887,"Catheter, guiding",ep_catheter_guiding,medium
2124215-2020-09189,Injury,2020-03-26,2020-04-27,BOSTON SCIENTIFIC CORPORATION,003,,LWP,LWP,INGENIO,"IMPLANTABLE PULSE GENERATOR, PACEMAKER (NON-CRT)",C1896,"Lead, aicd, non sing/dual",icd_lead_single_coil,medium
2124215-2020-09193,Malfunction,2020-03-12,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWP,LWP,ESSENTIO MRI EL DR,"IMPLANTABLE PULSE GENERATOR, PACEMAKER (NON-CRT)",C1896,"Lead, aicd, non sing/dual",icd_lead_single_coil,medium
2124215-2020-09195,Injury,2020-02-24,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWP,LWP,TELIGEN,IMPLANTABLE DEVICE,C1896,"Lead, aicd, non sing/dual",icd_lead_single_coil,medium
2124215-2020-09196,Malfunction,2020-03-27,2020-04-27,JABIL CIRCUIT (SHANGHAI) LTD,,,LWS,LWS,LATITUDE COMMUNICATOR,EXTERNAL COMMUNICATOR,C1721,"Aicd, dual chamber",icd_dual_chamber,high
2124215-2020-09196,Malfunction,2020-03-27,2020-04-27,JABIL CIRCUIT (SHANGHAI) LTD,,,LWS,LWS,LATITUDE COMMUNICATOR,EXTERNAL COMMUNICATOR,C1722,"Aicd, single chamber",icd_single_chamber,high
2124215-2020-09196,Malfunction,2020-03-27,2020-04-27,JABIL CIRCUIT (SHANGHAI) LTD,,,LWS,LWS,LATITUDE COMMUNICATOR,EXTERNAL COMMUNICATOR,C1887,"Catheter, guiding",ep_catheter_guiding,medium
2124215-2020-09205,Injury,2017-04-26,2020-04-28,OSCOR,,,LWS,LWS,EMBLEM S-ICD,IMPLANTABLE LEAD,C1721,"Aicd, dual chamber",icd_dual_chamber,high
2124215-2020-09205,Injury,2017-04-26,2020-04-28,OSCOR,,,LWS,LWS,EMBLEM S-ICD,IMPLANTABLE LEAD,C1722,"Aicd, single chamber",icd_single_chamber,high
2124215-2020-09205,Injury,2017-04-26,2020-04-28,OSCOR,,,LWS,LWS,EMBLEM S-ICD,IMPLANTABLE LEAD,C1887,"Catheter, guiding",ep_catheter_guiding,medium
2124215-2020-09207,Malfunction,2019-06-17,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,ENDOTAK RELIANCE SG,IMPLANTABLE LEAD,C1721,"Aicd, dual chamber",icd_dual_chamber,high
2124215-2020-09207,Malfunction,2019-06-17,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,ENDOTAK RELIANCE SG,IMPLANTABLE LEAD,C1722,"Aicd, single chamber",icd_single_chamber,high
2124215-2020-09207,Malfunction,2019-06-17,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,ENDOTAK RELIANCE SG,IMPLANTABLE LEAD,C1887,"Catheter, guiding",ep_catheter_guiding,medium
2124215-2020-09218,Injury,2020-01-31,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWP,LWP,ESSENTIO SR,"IMPLANTABLE PULSE GENERATOR, PACEMAKER (NON-CRT)",C1896,"Lead, aicd, non sing/dual",icd_lead_single_coil,medium
2124215-2020-09223,Injury,2020-03-20,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,NVY,NVY,ENDOTAK RELIANCE SG,IMPLANTABLE LEAD,C1779,"Lead, pmkr, transvenous vdd",pacemaker_lead_vdd,high
2124215-2020-09225,Injury,2020-02-18,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWP,LWP,ACCOLADE MRI DR,"IMPLANTABLE PULSE GENERATOR, PACEMAKER (NON-CRT)",C1896,"Lead, aicd, non sing/dual",icd_lead_single_coil,medium
2124215-2020-09226,Malfunction,2020-03-12,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWP,LWP,ACCOLADE MRI DR,"IMPLANTABLE PULSE GENERATOR, PACEMAKER (NON-CRT)",C1896,"Lead, aicd, non sing/dual",icd_lead_single_coil,medium
2124215-2020-09229,Malfunction,2020-01-08,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWP,LWP,ACCOLADE EL DR,IMPLANTABLE DEVICE,C1896,"Lead, aicd, non sing/dual",icd_lead_single_coil,medium
2124215-2020-09231,Injury,2020-02-18,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWP,LWP,ENERGEN ICD,IMPLANTABLE DEVICE,C1896,"Lead, aicd, non sing/dual",icd_lead_single_coil,medium
2124215-2020-09232,Injury,2020-02-17,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,DTB,DTB,FINELINE II STEROX,IMPLANTABLE LEAD,C1785,"Pmkr, dual, rate-resp",pacemaker_dual_chamber,high
2124215-2020-09232,Injury,2020-02-17,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,DTB,DTB,FINELINE II STEROX,IMPLANTABLE LEAD,C1786,"Pmkr, single, rate-resp",pacemaker_single_chamber,high
2124215-2020-09237,Injury,2019-09-03,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,DYNAGEN EL ICD DR,IMPLANTABLE DEVICE,C1721,"Aicd, dual chamber",icd_dual_chamber,high
2124215-2020-09237,Injury,2019-09-03,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,DYNAGEN EL ICD DR,IMPLANTABLE DEVICE,C1722,"Aicd, single chamber",icd_single_chamber,high
2124215-2020-09237,Injury,2019-09-03,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,DYNAGEN EL ICD DR,IMPLANTABLE DEVICE,C1887,"Catheter, guiding",ep_catheter_guiding,medium
2124215-2020-09238,Malfunction,2020-03-05,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWP,LWP,ACUITY X4 STRAIGHT,IMPLANTABLE LEAD,C1896,"Lead, aicd, non sing/dual",icd_lead_single_coil,medium
2124215-2020-09242,Malfunction,2020-01-05,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWP,LWP,ACCOLADE DR,IMPLANTABLE DEVICE,C1896,"Lead, aicd, non sing/dual",icd_lead_single_coil,medium
2124215-2020-09244,Malfunction,2020-03-20,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWP,LWP,COGNIS,"IMPLANTABLE PULSE GENERATOR, PACEMAKER (NON-CRT)",C1896,"Lead, aicd, non sing/dual",icd_lead_single_coil,medium
2124215-2020-09246,Malfunction,2020-02-10,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,MOMENTUM EL ICD DR,IMPLANTABLE DEVICE,C1721,"Aicd, dual chamber",icd_dual_chamber,high
2124215-2020-09246,Malfunction,2020-02-10,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,MOMENTUM EL ICD DR,IMPLANTABLE DEVICE,C1722,"Aicd, single chamber",icd_single_chamber,high
2124215-2020-09246,Malfunction,2020-02-10,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,MOMENTUM EL ICD DR,IMPLANTABLE DEVICE,C1887,"Catheter, guiding",ep_catheter_guiding,medium
2124215-2020-09248,Malfunction,2020-03-10,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,EMBLEM MRI S-ICD,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR (NON-CRT),C1721,"Aicd, dual chamber",icd_dual_chamber,high
2124215-2020-09248,Malfunction,2020-03-10,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,EMBLEM MRI S-ICD,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR (NON-CRT),C1722,"Aicd, single chamber",icd_single_chamber,high
2124215-2020-09248,Malfunction,2020-03-10,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,EMBLEM MRI S-ICD,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR (NON-CRT),C1887,"Catheter, guiding",ep_catheter_guiding,medium
2124215-2020-09249,Malfunction,2020-03-10,2020-04-28,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,EMBLEM S-ICD,IMPLANTABLE LEAD,C1721,"Aicd, dual chamber",icd_dual_chamber,high
2124215-2020-09249,Malfunction,2020-03-10,2020-04-28,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,EMBLEM S-ICD,IMPLANTABLE LEAD,C1722,"Aicd, single chamber",icd_single_chamber,high
2124215-2020-09249,Malfunction,2020-03-10,2020-04-28,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,EMBLEM S-ICD,IMPLANTABLE LEAD,C1887,"Catheter, guiding",ep_catheter_guiding,medium
2124215-2020-09251,Malfunction,2020-02-10,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWP,LWP,ACCOLADE MRI EL DR,IMPLANTABLE DEVICE,C1896,"Lead, aicd, non sing/dual",icd_lead_single_coil,medium
2124215-2020-09260,Malfunction,2019-10-18,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWP,LWP,ACCOLADE MRI DR,"IMPLANTABLE PULSE GENERATOR, PACEMAKER (NON-CRT)",C1896,"Lead, aicd, non sing/dual",icd_lead_single_coil,medium
2124215-2020-09266,Injury,2018-02-08,2020-04-28,CAMERON HEALTH,,,LWS,LWS,SQ-RX PULSE GENERATOR,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR (NON-CRT),C1721,"Aicd, dual chamber",icd_dual_chamber,high
2124215-2020-09266,Injury,2018-02-08,2020-04-28,CAMERON HEALTH,,,LWS,LWS,SQ-RX PULSE GENERATOR,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR (NON-CRT),C1722,"Aicd, single chamber",icd_single_chamber,high
2124215-2020-09266,Injury,2018-02-08,2020-04-28,CAMERON HEALTH,,,LWS,LWS,SQ-RX PULSE GENERATOR,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR (NON-CRT),C1887,"Catheter, guiding",ep_catheter_guiding,medium
2124215-2020-09269,Injury,2020-03-13,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,NVY,NVY,ENDOTAK RELIANCE G,PERMANENT DEFIBRILLATOR ELECTRODES,C1779,"Lead, pmkr, transvenous vdd",pacemaker_lead_vdd,high
2124215-2020-09270,Malfunction,2020-01-08,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWP,LWP,INGENIO,"IMPLANTABLE PULSE GENERATOR, PACEMAKER (NON-CRT)",C1896,"Lead, aicd, non sing/dual",icd_lead_single_coil,medium
2124215-2020-09271,Injury,2020-02-24,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWP,LWP,TELIGEN,IMPLANTABLE DEVICE,C1896,"Lead, aicd, non sing/dual",icd_lead_single_coil,medium
2124215-2020-09273,Injury,2020-03-19,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,NVY,NVY,ENDOTAK RELIANCE SG,PERMANENT DEFIBRILLATOR ELECTRODES,C1779,"Lead, pmkr, transvenous vdd",pacemaker_lead_vdd,high
2124215-2020-09274,Malfunction,2020-03-11,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,NVY,NVY,ENDOTAK RELIANCE,IMPLANTABLE LEAD,C1779,"Lead, pmkr, transvenous vdd",pacemaker_lead_vdd,high
2124215-2020-09285,Injury,2019-11-21,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWP,LWP,INGENIO,"IMPLANTABLE PULSE GENERATOR, PACEMAKER (NON-CRT)",C1896,"Lead, aicd, non sing/dual",icd_lead_single_coil,medium
2124215-2020-09300,Malfunction,2020-03-25,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,DTB,DTB,FINELINE II EZ STEROX,PERMANENT PACEMAKER ELECTRODE,C1785,"Pmkr, dual, rate-resp",pacemaker_dual_chamber,high
2124215-2020-09300,Malfunction,2020-03-25,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,DTB,DTB,FINELINE II EZ STEROX,PERMANENT PACEMAKER ELECTRODE,C1786,"Pmkr, single, rate-resp",pacemaker_single_chamber,high
2124215-2020-09301,Injury,2020-03-30,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,DTB,DTB,FLEXTEND,PERMANENT PACEMAKER ELECTRODE,C1785,"Pmkr, dual, rate-resp",pacemaker_dual_chamber,high
2124215-2020-09301,Injury,2020-03-30,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,DTB,DTB,FLEXTEND,PERMANENT PACEMAKER ELECTRODE,C1786,"Pmkr, single, rate-resp",pacemaker_single_chamber,high
2124215-2020-09306,Injury,2020-01-30,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWP,LWP,ACCOLADE MRI DR,"IMPLANTABLE PULSE GENERATOR, PACEMAKER (NON-CRT)",C1896,"Lead, aicd, non sing/dual",icd_lead_single_coil,medium
2124215-2020-09311,Injury,2020-03-18,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,INOGEN MINI ICD VR,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR (NON-CRT),C1721,"Aicd, dual chamber",icd_dual_chamber,high
2124215-2020-09311,Injury,2020-03-18,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,INOGEN MINI ICD VR,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR (NON-CRT),C1722,"Aicd, single chamber",icd_single_chamber,high
2124215-2020-09311,Injury,2020-03-18,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,INOGEN MINI ICD VR,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR (NON-CRT),C1887,"Catheter, guiding",ep_catheter_guiding,medium
2124215-2020-09312,Malfunction,2020-03-19,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWP,LWP,ALTRUA 60,"IMPLANTABLE PULSE GENERATOR, PACEMAKER (NON-CRT)",C1896,"Lead, aicd, non sing/dual",icd_lead_single_coil,medium
2124215-2020-09318,Injury,2020-02-14,2020-04-28,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,EMBLEM S-ICD,IMPLANTABLE LEAD,C1721,"Aicd, dual chamber",icd_dual_chamber,high
2124215-2020-09318,Injury,2020-02-14,2020-04-28,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,EMBLEM S-ICD,IMPLANTABLE LEAD,C1722,"Aicd, single chamber",icd_single_chamber,high
2124215-2020-09318,Injury,2020-02-14,2020-04-28,BOSTON SCIENTIFIC CORPORATION,,,LWS,LWS,EMBLEM S-ICD,IMPLANTABLE LEAD,C1887,"Catheter, guiding",ep_catheter_guiding,medium
2124215-2020-09320,Injury,2020-02-04,2020-04-27,BOSTON SCIENTIFIC CORPORATION,,,LWP,LWP,ACCOLADE MRI DR,"IMPLANTABLE PULSE GENERATOR, PACEMAKER (NON-CRT)",C1896,"Lead, aicd, non sing/dual",icd_lead_single_coil,medium
2124215-2020-09542,Death,2019-12-10,2020-04-28,BOSTON SCIENTIFIC CORPORATION,,,LWP,LWP,ACCOLADE MRI EL DR,"IMPLANTABLE PULSE GENERATOR, PACEMAKER (NON-CRT)",C1896,"Lead, aicd, non sing/dual",icd_lead_single_coil,medium
2134265-2008-00441,Malfunction,2008-01-14,2008-02-15,BOSTON SCIENTIFIC,,,NIQ,NIQ,TAXUS EXPRESS2 PACLITAXEL-ELUTING CORONARY STENT SYSTEM,"NIQ STENT, CORONARY, DRUG ELUTING",C1874,"Stent, coated/cov w/del sys",drug_eluting_stent,high
2134265-2008-00441,Malfunction,2008-01-14,2008-02-15,BOSTON SCIENTIFIC,,,NIQ,NIQ,TAXUS EXPRESS2 PACLITAXEL-ELUTING CORONARY STENT SYSTEM,"NIQ STENT, CORONARY, DRUG ELUTING",C1875,"Stent, coated/cov w/o del sy",drug_eluting_stent,high
2134265-2008-00442,Malfunction,2008-01-18,2008-02-15,BOSTON SCIENTIFIC,,,MAF,MAF,LIBERTE' MONORAIL CORONARY STENT DELIVERY SYSTEM,"MAF STENT, CORONARY",C1876,"Stent, non-coa/non-cov w/del",bare_metal_stent,high
2134265-2008-00442,Malfunction,2008-01-18,2008-02-15,BOSTON SCIENTIFIC,,,MAF,MAF,LIBERTE' MONORAIL CORONARY STENT DELIVERY SYSTEM,"MAF STENT, CORONARY",C1877,"Stent, non-coat/cov w/o del",bare_metal_stent,high
2134265-2008-00443,Malfunction,,2008-02-15,BOSTON SCIENTIFIC,,,MAF,MAF,LIBERTE' MONORAIL CORONARY STENT DELIVERY SYSTEM,"MAF STENT, CORONARY",C1876,"Stent, non-coa/non-cov w/del",bare_metal_stent,high
2134265-2008-00443,Malfunction,,2008-02-15,BOSTON SCIENTIFIC,,,MAF,MAF,LIBERTE' MONORAIL CORONARY STENT DELIVERY SYSTEM,"MAF STENT, CORONARY",C1877,"Stent, non-coat/cov w/o del",bare_metal_stent,high
2134265-2008-00452,Injury,2008-01-23,2008-02-19,BOSTON SCIENTIFIC,,,DQX,DQX,LUGE,"DQX WIRE, GUIDE, CATHETER",C1755,"Catheter, intraspinal",catheter_guidewire,medium
2134265-2008-00452,Injury,2008-01-23,2008-02-19,BOSTON SCIENTIFIC,,,DQX,DQX,LUGE,"DQX WIRE, GUIDE, CATHETER",C1769,Guide wire,,medium
