report_number,date_of_event,event_type,manufacturer_name,facility_state,patient_outcomes,product_code,brand_name,hcpcs_code,hcpcs_desc,device_category,bridge_confidence,n_cms_hosp_in_state,n_cms_measures_in_state
2649622-2020-08377,,Injury,MPRI,,,DTB,CAPSUREFIX NOVUS LEAD MRI SURESCAN,C1786,"Pmkr, single, rate-resp",pacemaker_single_chamber,high,0,0
2182207-2008-00770,,Death,MEDTRONIC NEUROMODULATION,,,MHY,DEEP BRAIN STIMULATOR LEAD,L8679,Imp neurosti pls gn any type,neurostim_implant,medium,0,0
3012307300-2020-03443,,Malfunction,ST PAUL,,,FRN,MEDFUSION,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
3012307300-2020-03443,,Malfunction,ST PAUL,,,FRN,MEDFUSION,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
3012307300-2020-03442,,Malfunction,ST PAUL,,,FRN,MEDFUSION,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
3012307300-2020-03465,,Malfunction,ST PAUL,,,FRN,CADD LEGACY PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
3012307300-2020-03465,,Malfunction,ST PAUL,,,FRN,CADD LEGACY PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
3012307300-2020-03442,,Malfunction,ST PAUL,,,FRN,MEDFUSION,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
1314492-2020-01400,,Malfunction,BAXTER HEALTHCARE CORPORATION,,,FRN,SPECTRUM INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
1314492-2020-01400,,Malfunction,BAXTER HEALTHCARE CORPORATION,,,FRN,SPECTRUM INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
1314492-2020-01406,,Malfunction,BAXTER HEALTHCARE CORPORATION,,,FRN,SPECTRUM INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
1314492-2020-01412,,Malfunction,BAXTER HEALTHCARECORPORATION,,,FRN,SPECTRUM INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
1314492-2020-01406,,Malfunction,BAXTER HEALTHCARE CORPORATION,,,FRN,SPECTRUM INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
2648035-2020-00397,,Malfunction,"JOHNSON & JOHNSON SURGICAL VISION, INC.",,,HQL,UNKNOWN,V2632,Post chmbr intraocular lens,iol_posterior_chamber,high,0,0
