report_number,date_of_event,event_type,manufacturer_name,facility_state,patient_outcomes,product_code,brand_name,hcpcs_code,hcpcs_desc,device_category,bridge_confidence,n_cms_hosp_in_state,n_cms_measures_in_state
1314492-2020-01395,,Malfunction,BAXTER HEALTHCARE CORPORATION,,,FRN,SPECTRUM INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
1314492-2020-01423,,Malfunction,BAXTER HEALTHCARE CORPORATION,,,FRN,SPECTRUM IQ INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
3012307300-2020-03424,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,MEDFUSION,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
2182207-2008-00774,,Injury,MEDTRONIC NEUROMODULATION,,,MHY,DEEP BRAIN STIMULATION LEAD,L8679,Imp neurosti pls gn any type,neurostim_implant,medium,0,0
2182207-2008-00769,,Injury,MEDTRONIC NEUROMODULATION,,,MHY,DEEP BRAIN STIMULATION LEAD,L8680,Implt neurostim elctr each,neurostim_electrode,medium,0,0
2649622-2020-08331,,Injury,MPRI,,,DTB,CAPSUREFIX LEAD,C1785,"Pmkr, dual, rate-resp",pacemaker_dual_chamber,high,0,0
2649622-2020-08331,,Injury,MPRI,,,DTB,CAPSUREFIX LEAD,C1786,"Pmkr, single, rate-resp",pacemaker_single_chamber,high,0,0
2017865-1997-00042,,Malfunction,PACESETTER INC.,,,DTB,BIPOLAR VENTRICULAR ENDOCARDIAL LEAD,C1785,"Pmkr, dual, rate-resp",pacemaker_dual_chamber,high,0,0
2017865-1997-00042,,Malfunction,PACESETTER INC.,,,DTB,BIPOLAR VENTRICULAR ENDOCARDIAL LEAD,C1786,"Pmkr, single, rate-resp",pacemaker_single_chamber,high,0,0
2182207-2008-00771,,Injury,MEDTRONIC NEUROMODULATION,,,MHY,DEEP BRAIN STIMULATION LEAD,L8679,Imp neurosti pls gn any type,neurostim_implant,medium,0,0
2649622-2020-08344,,Injury,MPRI,,,LWS,SPRINT QUATTRO SECURE S MRI SURESCAN,C1721,"Aicd, dual chamber",icd_dual_chamber,high,0,0
2649622-2020-08344,,Injury,MPRI,,,LWS,SPRINT QUATTRO SECURE S MRI SURESCAN,C1722,"Aicd, single chamber",icd_single_chamber,high,0,0
